Day,Week Day,Week Num,Daily Gross,Percentage of the week,High (F) -Porto,Low (F) -Porto,Precip (in.) - Porto,Normal High (F) -Porto,Normal Low (F) - Porto,Normal Precip (in.)- Porto,High (F)  - Lisboon,Low (F) - Lisbon,Precip (in.) - Lisbon,Normal High (F) - Lisbon,Normal Low (F) - Lisbon,Normal Precip (in.) - Lisbon
1/17/19 12:00 AM,Thu,1,10024.72,0.077657859,56,40,0,56,40,0,55,45,0,56,46,0
1/18/19 12:00 AM,Fri,1,20669.82,0.157920853,49,38,0.21,56,40,0,55,46,0,56,46,0.01
1/19/19 12:00 AM,Sat,1,40395.16,0.298515486,58,44,1.28,56,40,0,59,48,0,56,46,0
1/20/19 12:00 AM,Sun,1,30237.39,0.223752223,58,42,0.02,56,40,0,57,50,0,56,46,0.01
1/21/19 12:00 AM,Mon,1,11403.51,0.088988132,57,38,0,56,40,0,57,46,0,56,46,0
1/22/19 12:00 AM,Tue,1,9250.06,0.069718397,55,45,0.26,56,40,0,55,46,0,56,46,0.01
1/23/19 12:00 AM,Wed,1,10560.33,0.08344705,57,50,0.24,57,40,0,59,52,0,56,46,0
1/24/19 12:00 AM,Thu,2,7953.69,0.100095785,62,49,0.09,57,40,0,61,54,0,56,46,0.01
1/25/19 12:00 AM,Fri,2,15015.77,0.189107827,64,42,0,57,40,0,66,50,0,56,46,0
1/26/19 12:00 AM,Sat,2,22444.11,0.275656814,63,47,0,57,40,0,64,43,0,56,46,0.01
1/27/19 12:00 AM,Sun,2,17341.09,0.212848933,57,47,0.04,57,40,0,55,50,0,56,46,0
1/28/19 12:00 AM,Mon,2,6533.92,0.083401752,58,46,0.12,57,40,0,57,50,0,56,46,0
1/29/19 12:00 AM,Tue,2,5494.4,0.069718117,55,47,0.31,57,40,0,55,52,0,57,46,0
1/30/19 12:00 AM,Wed,2,5330.04,0.069170772,56,44,1.71,57,40,0,57,52,0,57,46,0
1/31/19 12:00 AM,Thu,3,4415.43,0.100906044,57,52,1.35,57,41,0.01,58,54,0,57,46,0
02/01/2019 00:00,Fri,3,7966.38,0.179223036,54,44,0.74,57,41,0.21,55,50,0,57,46,0.12
02/02/2019 00:00,Sat,3,14037.38,0.312895619,54,40,0.18,57,41,0,54,45,0,57,46,0
02/03/2019 00:00,Sun,3,7333.38,0.162095073,55,36,0.01,57,41,0,55,43,0,57,46,0
02/04/2019 00:00,Mon,3,3825.11,0.08899094,56,37,0,57,41,0.01,55,37,0,57,47,0
02/05/2019 00:00,Tue,3,3488.85,0.079930495,59,40,0,57,41,0,61,39,0,57,47,0
02/06/2019 00:00,Wed,3,3301.13,0.075958794,58,41,0,57,41,0,64,41,0,57,47,0
02/07/2019 00:00,Thu,4,1155.6,0.090039841,58,47,0,57,41,0,61,45,0,57,47,0
02/08/2019 00:00,Fri,4,2579.72,0.190039841,58,44,0.09,58,41,0.01,59,46,0,57,47,0
02/09/2019 00:00,Sat,4,4517.11,0.314342629,58,52,0.16,58,41,0,59,52,0,58,47,0
02/10/2019 00:00,Sun,4,2498.56,0.172111554,58,46,1.32,58,41,0,61,50,0,58,47,0
02/11/2019 00:00,Mon,4,1142.95,0.084063745,59,39,0,58,41,0,61,46,0,58,47,0
02/12/2019 00:00,Tue,4,1002.5,0.072908367,65,44,0,58,41,0.01,64,45,0,58,47,0
2/13/19 12:00 AM,Wed,4,985.03,0.076494024,67,46,0,58,41,0,64,46,0,58,47,0
2/14/19 12:00 AM,Thu,5,925.92,0.116642959,70,50,0,58,41,0,66,46,0,58,47,0
2/15/19 12:00 AM,Fri,5,1003.95,0.126600284,66,49,0,58,41,0,63,48,0,58,47,0.01
2/16/19 12:00 AM,Sat,5,2388.71,0.293029872,68,45,0,58,41,0.01,66,50,0,58,47,0
2/17/19 12:00 AM,Sun,5,1468.73,0.175675676,62,47,0.13,58,41,0,61,46,0,58,47,0
2/18/19 12:00 AM,Mon,5,960.9,0.13940256,59,45,0.3,58,42,0,54,48,0,58,47,0
2/19/19 12:00 AM,Tue,5,458.8,0.06116643,56,38,0,58,42,0,61,48,0,58,47,0.01
2/20/19 12:00 AM,Wed,5,632.48,0.087482219,59,40,0,59,42,0.01,63,43,0,58,47,0
2/21/19 12:00 AM,Thu,6,445.85,0.079923882,66,47,0,59,42,0,64,45,0,58,47,0
2/22/19 12:00 AM,Fri,6,881.74,0.143672693,73,49,0,59,42,0,68,50,0,59,47,0.01
2/23/19 12:00 AM,Sat,6,1348.8,0.223596575,72,50,0,59,42,0,70,48,0,59,47,0
2/24/19 12:00 AM,Sun,6,1004.28,0.163653663,74,51,0,59,43,0.01,70,46,0,59,47,0.01
2/25/19 12:00 AM,Mon,6,965.35,0.192197907,74,53,0,59,43,0,72,48,0,59,47,0
2/26/19 12:00 AM,Tue,6,507.7,0.103710752,75,52,0,59,43,0,68,48,0,59,47,0
2/27/19 12:00 AM,Wed,6,484.9,0.093244529,64,49,0.02,59,43,0,63,50,0,59,47,0
